strTeam;idTeam;intFormedYear;strStadium;intStadiumCapacity;strCountry;strLocation;;;;
Arsenal;133604;1892;Emirates Stadium;60338;England;Holloway, London, England;;;;
Aston Villa;133601;1874;Villa Park;42785;England;Aston, Birmingham;;;;
Bournemouth;134301;1890;Vitality Stadium;11464;England;AFCB, Bournemouth, England;;;;
Brentford;134355;1889;Brentford Community Stadium;17250;England;Brentford, London, England;;;;
Brighton and Hove Albion;133619;1901;American Express Stadium;30750;England;Falmer, Brighton, East Sussex, England;;;;
Burnley;133623;1882;Turf Moor;21401;England;Burnley, Lancashire;;;;
Chelsea;133610;1905;Stamford Bridge;41798;England;Fulham, London;;;;
Crystal Palace;133632;1905;Selhurst Park;26255;England;South Norwood, London;;;;
Everton;133615;1878;Hill Dickinson Stadium;40157;England;Walton, Liverpool;;;;
Fulham;133600;1879;Craven Cottage;25700;England;Fulham, London, England;;;;
Bayer Leverkusen;133666;1904;BayArena;30210;Germany;Leverkusen, Germany;;;;
Bayern Munich;133664;1900;Allianz Arena;75024;Germany;Munich, Germany;;;;
Borussia Dortmund;133650;1909;Signal Iduna Park;80720;Germany;Dortmund, Germany;;;;
Borussia Mönchengladbach;134779;1900;Stadion im Borussia-Park;54057;Germany;Mönchengladbach, Germany;;;;
Eintracht Frankfurt;133814;1899;Deutsche Bank Park;51500;Germany;Frankfurt, Germany;;;;
FC Augsburg;133652;1907;WWK Arena;30660;Germany;Augsburg, Germany;;;;
FC Heidenheim;134696;1846;Voith-Arena;15000;Germany;Heidenheim, Germany;;;;
FC Köln;133654;1948;RheinEnergieStadion;49698;Germany;Aachener Straße 999 50933 Cologne, Germany;;;;
Freiburg;133653;1904;Europa-Park Stadion;24000;Germany;Freiburg im Breisgau, Baden-Württemberg;;;;
Hamburg;133651;1887;Volksparkstadion;57000;Germany;Hamburg, Germany;;;;
AC Milan;133667;1899;Stadio Giuseppe Meazza;80018;Italy;San Siro, Milan;;;;
Atalanta;134782;1907;Gewiss Stadium;21300;Italy;Bergamo, Italy;;;;
Bologna;134781;1909;Stadio Renato Dall'Ara;38279;Italy;Bologna, Emilia-Romagna;;;;
Cagliari;134783;1920;Unipol Domus;16233;Italy;Cagliari, Italy;;;;
Como;134243;1907;Stadio Giuseppe Sinigaglia;15000;Italy;Como, Italy;;;;
Cremonese;134224;1903;Stadio Giovanni Zini;20641;Italy;Cremona, Italy;;;;
Fiorentina;133674;1926;Stadio Artemio Franchi;43147;Italy;Florence, Italy;;;;
Genoa;133675;1823;Stadio Luigi Ferraris;36599;Italy;Genoa, Italy;;;;
Hellas Verona;134784;1903;Stadio Marcantonio Bentegodi;39371;Italy;Verona, Italy;;;;
Inter Milan;133681;1908;Stadio Giuseppe Meazza;80018;Italy;Milan, Italy;;;;
Angers;134709;1919;Stade Raymond Kopa;18752;France;Angers;;;;
Auxerre;134788;1905;Stade de l'Abbé Deschamps;21379;France;Auxerre;;;;
Brest;133704;1903;Stade Francis-Le Blé;15097;France;Brest;;;;
Le Havre;133862;1872;Stade Océane;25178;France;Le Havre;;;;
Lens;133822;1906;Stade Bollaert-Delelis;41229;France;Lens, France;;;;
Lille;133711;1944;Decathlon Arena - Stade Pierre-Mauroy;50157;France;Villeneuve-d'Ascq, Lille, France;;;;
Lorient;133715;1926;Stade du Moustoir;18500;France;Lorient;;;;
Lyon;133713;1950;Groupama Stadium;59186;France;Lyon;;;;
Marseille;133707;1899;Orange Vélodrome;67394;France;Marseille, France;;;;
Metz;133883;1932;Stade Saint-Symphorien;26700;France;Metz, France;;;;
Athletic Bilbao;133727;1898;San Mamés Barria;53289;Spain;Bilbao, Vizcaya;;;;
Atlético Madrid;133729;1903;Riyadh Air Metropolitano;67703;Spain;Madrid;;;;
Barcelona;133739;1899;Spotify Camp Nou;99354;Spain;Barcelona;;;;
Celta Vigo;133937;1923;Estadio Abanca-Balaídos;29000;Spain;Vigo, Galicia, Spain;;;;
Deportivo Alavés;134221;1921;Estadio de Mendizorroza;19840;Spain;Vitoria;;;;
Elche;134384;1923;Estadio Martínez Valero;36017;Spain;Elche, Alicante;;;;
Espanyol;133734;1900;RCDE Stadium;40500;Spain;Cornellà y El Prat, Barcelona;;;;
Getafe;133731;1946;Estadio Coliseum;17393;Spain;Getafe, Spain;;;;
Girona;134700;1930;Estadi Municipal de Montilivi;14450;Spain;Girona;;;;
Levante;133732;1909;Estadio Ciudad de Valencia;26354;Spain;Valencia;;;;
